LON,LAT,EDO,CLAVE,ESTACION,01/10/20,,
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",74.4,,
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",89.9,,
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",53,,
-93.076389,16.166944,CHIS,CREDREVOLUCIONM,Cred RevoluciÛn Mexicana Chis. SMN*,74.7,,
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",147.8,,
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",554.7,,
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",103.8,,
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",304.7,,
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",321.2,,
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",30.8,,
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",1011,,
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",387.3,,
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",370.3,,
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",708.3,,
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",71.3,,
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",483,,
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",486.9,,
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. SGT*",149.5,,
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",122.2,,
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",126.3,,
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",793.4,,
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",101.1,,
-90.702222,16.580833,CHIS,LACCP,"Lacant˙n, Chis.",231.7,,
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",22.2,,
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",243.4,,
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",400.6,,
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",389.6,,
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",54.7,,
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",210.4,,
-93.861944,16.055278,CHIS,PAREDONmar,"ParedÛn, Chis. SEMAR*",17.5,,
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",91.7,,
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",456.6,,
-93.113889,17.511944,CHIS,PICCP,"Pichucalco, Chis.",785.1,,
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",173.2,,
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",384.2,,
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",123.6,,
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",99.4,,
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",78.7,,
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",577.5,,
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",481.2,,
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",875,,
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",73.4,,
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",81.7,,
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",97.5,,
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",79.3,,
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",278.2,,
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",187,,
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",664.6,,
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",114.7,,
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",105.4,,
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",215.3,,
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",1113.6,,
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",307.4,,
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",100.3,,
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",35.2,,
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",27.6,,
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",49.7,,
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",617.6,,
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",628.3,,
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",0,,
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",2.7,,
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0,,
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0,,
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0,,
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",5,,
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",0,,
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",7,,
-102.037778,26.990278,COAH,CUATROCIENEGAS,"Cuatro CiÈnegas, Coah. SMN*",0,,
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0,,
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",0,,
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0,,
-100.833333,28.823056,COAH,LAFRAGUA,"La Fragua, Coah. SGT*",1.8,,
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad AcuÒa, Coah. CILA*",4.6,,
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0,,
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0,,
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",0,,
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",0,,
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",0.2,,
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",1,,
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",0.5,,
-100.634444,28.898611,COAH,RioSanRodrigoC,"RÌo San Rodrigo cerca El Moral, Piedras Negras Coah., CILA*",3,,
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",0,,
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",0,,
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",5,,
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",0.3,,
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",0,,
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0,,
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0,,
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0,,
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",0,,
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",0,,
-103.45,25.533333,COAH,TORREONob,"Observatorio de TorreÛn, Coah. SMN*",0,,
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",1.2,,
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",0.5,,
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",4,,
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",15,,
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",94,,
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",5,,
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0,,
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",1.9,,
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",21.6,,
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",5.9,,
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",46,,
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0,,
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",60.5,,
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",4.2,,
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",25.4,,
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",6.4,,
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",26.5,,
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",5,,
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",1,,
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",1.5,,
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Jal. SMN*",2.2,,
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",7,,
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",3,,
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",48.9,,
-99.099722,19.379167,DF,ACULCO,"Planta de Bombeo Aculco, Cd. de MÈx. SACMEX*",10.7,,
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",42.9,,
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",26.2,,
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de MÈx. SACMEX*",42.4,,
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de MÈx. UNAM*",12,,
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",17.2,,
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",26.5,,
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",22.1,,
-99.283333,19.436389,DF,BOSQUEREAL,"Bosque Real, MÈx. UNAM*",24.9,,
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de MÈx. SACMEX*",37.1,,
-98.998056,19.356111,DF,CARCELMUJERES,"C·rcel de Mujeres, Cd. de MÈx. SACMEX*",4.6,,
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",35.5,,
-99.171667,19.453333,DF,CBIOLOGIPN,"Eescuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. OCAVM*",15.2,,
-99.176111,19.326111,DF,CCA,"Centro de Ciencias de la AtmÛsfera, Cd. de MÈx UNAM*",31.4,,
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de MÈx. UNAM*",11.5,,
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",42.4,,
-99.082222,19.408611,DF,CDEPORTIVA,"Ciudad Deportiva, Cd. de MÈx. SACMEX*",7.4,,
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",4.6,,
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",7.4,,
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",25.3,,
-99.196111,19.311667,DF,CENAPRED,"Centro de Ciencias de la AtmÛsfera CENAPRED, Cd. de MÈx SMN*",31.4,,
-99.077222,19.336944,DF,CESTRELLA,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÈx. SACMEX*",14.2,,
-99.171667,19.1375,DF,CFORESTAL,"Caseta Forestal, Cd. de MÈx. SACMEX*",35.8,,
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",35.8,,
-99.047222,19.442222,DF,CHAPLAGO,"Planta de Bombeo Churubusco Lago, Cd. de MÈx. SACMEX*",32.5,,
-99.136667,19.470556,DF,CIENMETROS,"Avenida Cien Metros, Cd. de MÈx. SACMEX*",33.3,,
-99.182778,19.486944,DF,CMECOAYA,"Campamento Mecoaya, Cd. de MÈx. SACMEX*",9.9,,
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",33.3,,
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",9.9,,
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",8.5,,
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de MÈx SGT*",34.5,,
-99.247222,19.306389,DF,CONTRERAS,"Contreras, Cd. de MÈx. UNAM*",37.8,,
-99.09,19.484722,DF,COYOLDF,"Coyol, Cd. de MÈx. SACMEX*",14.2,,
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",71.3,,
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de MÈx.",13.2,,
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de MÈx. UNAM*",56.5,,
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de MÈx. UNAM*",13.9,,
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de MÈx. UNAM*",8,,
-99.105,19.323333,DF,CULHUACAN,"Culhuac·n, Cd. de MÈx. UNAM*",14.6,,
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",14.2,,
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de MÈx. SACMEX*",42.4,,
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de MÈxico, Cd. de MÈx.",37.3,,
-99.162778,19.378333,DF,DELVALLE,"Del Valle, Cd. de MÈx. SACMEX*",32.8,,
-99.221111,19.321944,DF,DHUMANOS,"Derechos Humanos, Cd. de MÈx. UNAM*",32,,
-99.344167,19.37,DF,DOSRIOS,"Dos RÌos, MÈx. UNAM*",53.9,,
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",49,,
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",32.8,,
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",18,,
-99.151944,19.300278,DF,EAZTECA,"Estadio Azteca, Cd. de MÈx. SACMEX*",17.8,,
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de MÈx. SMN*",39.4,,
-99.271111,19.373889,DF,ELCARTERO,"Tanque el Cartero, Cd. de MÈx. SACMEX*",64.5,,
-99.066667,19.377778,DF,ELMORALDF,"Lumbrera Cuatro RÌos El Moral, Cd. de MÈx. SACMEX*",5.6,,
